FULL NAME,TEAM,POS
Malcolm Brogdon,Ind,G
Dillon Brooks,Mem,G-F
Charles Brown Jr.,Atl,G
Troy Brown Jr.,Was,G-F
Bruce Brown,Det,G-F
Jaylen Brown,Bos,F-G
Moses Brown,Por,C
Sterling Brown,Mil,G-F
Jalen Brunson,Dal,G
Thomas Bryant,Was,C-F
Reggie Bullock,Nyk,G-F
Trey Burke,Phi,G
Trey Burke,Dal,G
Alec Burks,Gol,G
Alec Burks,Phi,G
Deonte Burton,Okc,G-F
Jimmy Butler,Mia,F
Bruno Caboclo,Mem,F
Bruno Caboclo,Hou,F
Devontae Cacok,Lal,F
Kentavious Caldwell-Pope,Lal,G
Vlatko Cancar,Den,F
Clint Capela,Hou,C
DeMarre Carroll,San,F
DeMarre Carroll,Hou,F
Wendell Carter Jr.,Chi,C-F
Jevon Carter,Pho,G
Vince Carter,Atl,G-F
Michael Carter-Williams,Orl,G
Alex Caruso,Lal,G
Willie Cauley-Stein,Gol,C
Willie Cauley-Stein,Dal,C
Tyson Chandler,Hou,C
Wilson Chandler,Bro,F
Joe Chealey,Cha,G
Zylan Cheatham,Nor,F
Chris Chiozza,Was,G
Chris Chiozza,Bro,G
Marquese Chriss,Gol,F
Brandon Clarke,Mem,F-G
Gary Clark,Hou,F
Gary Clark,Orl,F
Jordan Clarkson,Cle,G
Jordan Clarkson,Uta,G
Nicolas Claxton,Bro,F-C
Chris Clemons,Hou,G
Antonius Cleveland,Dal,G
Amir Coffey,Lac,G-F
John Collins,Atl,F
Zach Collins,Por,F-C
Mike Conley,Uta,G
Pat Connaughton,Mil,G
Quinn Cook,Lal,G
Tyler Cook,Cle,F
Tyler Cook,Den,F
Robert Covington,Min,F
Robert Covington,Hou,F
Allen Crabbe,Atl,G-F
Allen Crabbe,Min,G-F
Torrey Craig,Den,F
Jamal Crawford,Bro,G
Jae Crowder,Mem,F
Jae Crowder,Mia,F
Jarrett Culver,Min,G-F
Seth Curry,Dal,G
Stephen Curry,Gol,G
Troy Daniels,Lal,G
Troy Daniels,Den,F
Anthony Davis,Lal,F-C
Ed Davis,Uta,F
Terence Davis,Tor,G
Dewayne Dedmon,Sac,C
Dewayne Dedmon,Atl,C
Matthew Dellavedova,Cle,G
DeMar DeRozan,San,F
Cheick Diallo,Pho,F-C
Hamidou Diallo,Okc,G
Gorgui Dieng,Min,C
Gorgui Dieng,Mem,C
Spencer Dinwiddie,Bro,G
Donte DiVincenzo,Mil,G
Luka Doncic,Dal,G-F
Luguentz Dort,Okc,G
Damyean Dotson,Nyk,G
Sekou Doumbouya,Det,F
PJ Dozier,Den,G-F
Goran Dragic,Mia,G
Andre Drummond,Det,C
Andre Drummond,Cle,C
Jared Dudley,Lal,F
Kris Dunn,Chi,G
Carsen Edwards,Bos,G
Henry Ellenson,Bro,F-C
Wayne Ellington,Nyk,G
Joel Embiid,Phi,C-F
James Ennis III,Phi,F
James Ennis III,Orl,F
Drew Eubanks,San,F-C
Jacob Evans,Gol,G-F
Jacob Evans,Min,G-F
Dante Exum,Uta,G
Dante Exum,Cle,G
Tacko Fall,Bos,C
Derrick Favors,Nor,F
Cristiano Felicio,Chi,F-C
Terrance Ferguson,Okc,G
Bruno Fernando,Atl,F-C
Yogi Ferrell,Sac,G
Dorian Finney-Smith,Dal,F
Bryn Forbes,San,G
Evan Fournier,Orl,G-F
De'Aaron Fox,Sac,G
Melvin Frazier Jr.,Orl,G-F
Michael Frazier,Hou,G
Tim Frazier,Det,G
Markelle Fultz,Orl,G
Wenyen Gabriel,Sac,F
Wenyen Gabriel,Por,F
Daniel Gafford,Chi,F-C
Danilo Gallinari,Okc,F
Langston Galloway,Det,G
Darius Garland,Cle,G
Marc Gasol,Tor,C
Rudy Gay,San,F-G
Paul George,Lac,F
Taj Gibson,Nyk,F
Harry Giles III,Sac,F-C
Shai Gilgeous-Alexander,Okc,G-F
Rudy Gobert,Uta,C
Brandon Goodwin,Atl,G
Aaron Gordon,Orl,F
Eric Gordon,Hou,G
Devonte' Graham,Cha,G
Treveon Graham,Min,G-F
Treveon Graham,Atl,G-F
Jerami Grant,Den,F
Jerian Grant,Was,G
Josh Gray,Nor,G
Danny Green,Lal,G
Draymond Green,Gol,F
JaMychal Green,Lac,F-C
Javonte Green,Bos,G-F
Jeff Green,Uta,F
Jeff Green,Hou,F
Blake Griffin,Det,F
Marko Guduric,Mem,G
Kyle Guy,Sac,G
Rui Hachimura,Was,F
Devon Hall,Okc,G
Donta Hall,Det,F
Donta Hall,Bro,F
Dusty Hannahs,Mem,G
Tim Hardaway Jr.,Dal,G
James Harden,Hou,G
Maurice Harkless,Lac,F-G
Maurice Harkless,Nyk,F-G
Jared Harper,Pho,G
Montrezl Harrell,Lac,F-C
Gary Harris,Den,G
Joe Harris,Bro,G-F
Shaquille Harrison,Chi,G
Tobias Harris,Phi,F
Isaiah Hartenstein,Hou,C-F
Josh Hart,Nor,G
Udonis Haslem,Mia,F
Jaxson Hayes,Nor,C-F
Gordon Hayward,Bos,F
John Henson,Cle,F-C
John Henson,Det,F-C
Dewan Hernandez,Tor,C-F
Juancho Hernangomez,Den,F
Juancho Hernangomez,Min,F
Willy Hernangomez,Cha,C-F
Tyler Herro,Mia,G
Kevin Hervey,Okc,F
Mario Hezonja,Por,F-G
Buddy Hield,Sac,G
George Hill,Mil,G
Solomon Hill,Mem,F
Solomon Hill,Mia,F
Jaylen Hoard,Por,F
Aaron Holiday,Ind,G
Jrue Holiday,Nor,G
Justin Holiday,Ind,F-G
Rondae Hollis-Jefferson,Tor,F
Richaun Holmes,Sac,F
Rodney Hood,Por,G-F
Al Horford,Phi,C-F
Talen Horton-Tucker,Lal,G
Danuel House Jr.,Hou,F-G
Dwight Howard,Lal,C-F
William Howard,Hou,F-G
Kevin Huerter,Atl,G-F
De'Andre Hunter,Atl,F-G
Chandler Hutchison,Chi,F-G
Serge Ibaka,Tor,F
Andre Iguodala,Mia,G-F
Ersan Ilyasova,Mil,F
Joe Ingles,Uta,F-G
Brandon Ingram,Nor,F
Kyrie Irving,Bro,G
Jonathan Isaac,Orl,F
Wes Iwundu,Orl,F
Jaren Jackson Jr.,Mem,F-C
Frank Jackson,Nor,G
Josh Jackson,Mem,G-F
Justin Jackson,Dal,F
Reggie Jackson,Det,G
Reggie Jackson,Lac,G
Justin James,Sac,G-F
LeBron James,Lal,F
Amile Jefferson,Orl,F
DaQuan Jeffries,Sac,G-F
Ty Jerome,Pho,G-F
Alize Johnson,Ind,F
BJ Johnson,Orl,F
Cameron Johnson,Pho,F
James Johnson,Mia,F
James Johnson,Min,F
Keldon Johnson,San,F-G
Stanley Johnson,Tor,F-G
Tyler Johnson,Pho,G
Tyler Johnson,Bro,G
Nikola Jokic,Den,C
Derrick Jones Jr.,Mia,F
Damian Jones,Atl,C
Tyus Jones,Mem,G
DeAndre Jordan,Bro,C
Cory Joseph,Sac,G
Mfiondu Kabengele,Lac,F-C
Frank Kaminsky,Pho,F-C
Enes Kanter,Bos,C
Luke Kennard,Det,G
Michael Kidd-Gilchrist,Cha,F
Michael Kidd-Gilchrist,Dal,F
Stanton Kidd,Uta,F
Louis King,Det,F
Maxi Kleber,Dal,F
Brandon Knight,Cle,G
Brandon Knight,Det,G
Kevin Knox II,Nyk,F
John Konchar,Mem,G
Furkan Korkmaz,Phi,G-F
Luke Kornet,Chi,C-F
Kyle Korver,Mil,G-F
Rodions Kurucs,Bro,F
Kyle Kuzma,Lal,F
Skal Labissiere,Por,F-C
Jeremy Lamb,Ind,G-F
Romeo Langford,Bos,G-F
Zach LaVine,Chi,G-F
Vic Law,Orl,F
Jake Layman,Min,F
TJ Leaf,Ind,F
Jalen Lecque,Pho,G
Courtney Lee,Dal,G
Damion Lee,Gol,G-F
Alex Len,Atl,C
Alex Len,Sac,C
Kawhi Leonard,Lac,F
Meyers Leonard,Mia,C
Caris LeVert,Bro,G
Damian Lillard,Por,G
Nassir Little,Por,F-G
Kevon Looney,Gol,F
Brook Lopez,Mil,C
Robin Lopez,Mil,C
Kevin Love,Cle,F
Kyle Lowry,Tor,G
Timothe Luwawu-Cabarrot,Bro,G-F
Trey Lyles,San,F
Daryl Macon,Mia,G
J.P. Macura,Cle,G
Josh Magette,Orl,G
Ian Mahinmi,Was,C
Thon Maker,Det,F-C
Terance Mann,Lac,G-F
Boban Marjanovic,Dal,C
Lauri Markkanen,Chi,F-C
Caleb Martin,Cha,F
Cody Martin,Cha,F
Jeremiah Martin,Bro,G
Kelan Martin,Min,F
Frank Mason,Mil,G
Garrison Mathews,Was,G
Wesley Matthews,Mil,G
Luc Mbah a Moute,Hou,F
Patrick McCaw,Tor,G
CJ McCollum,Por,G
T.J. McConnell,Ind,G
Jalen McDaniels,Cha,F-C
Doug McDermott,Ind,F
JaVale McGee,Lal,C-F
Rodney McGruder,Lac,G
Alfonzo McKinnie,Cle,F
Jordan McLaughlin,Min,G
Ben McLemore,Hou,G
Jordan McRae,Was,G
Jordan McRae,Den,G
Jordan McRae,Det,G
Nicolo Melli,Nor,0
De'Anthony Melton,Mem,G
Chimezie Metu,San,F-C
Khris Middleton,Mil,F
Eric Mika,Sac,C
CJ Miles,Was,G
Malcolm Miller,Tor,G-F
Paul Millsap,Den,F
Patty Mills,San,G
Shake Milton,Phi,G-F
Donovan Mitchell,Uta,G
Naz Mitrou-Long,Ind,G
Adam Mokoka,Chi,G
Malik Monk,Cha,G
Matt Mooney,Cle,G
E'Twaun Moore,Nor,G
Ja Morant,Mem,G
Juwan Morgan,Uta,F
Marcus Morris Sr.,Nyk,F
Marcus Morris Sr.,Lac,F
Markieff Morris,Det,F
Markieff Morris,Lal,F
Monte Morris,Den,G
Johnathan Motley,Lac,F
Emmanuel Mudiay,Uta,G
Mychal Mulder,Gol,G
Dejounte Murray,San,G
Jamal Murray,Den,G
Dzanan Musa,Bro,G-F
Mike Muscala,Okc,F-C
Svi Mykhailiuk,Det,G-F
Abdel Nader,Okc,F
Larry Nance Jr.,Cle,F-C
Shabazz Napier,Min,G
Shabazz Napier,Was,G
Raul Neto,Phi,G
Malik Newman,Cle,G
Georges Niang,Uta,F
Joakim Noah,Lac,F-C
Nerlens Noel,Okc,C-F
Zach Norvell Jr.,Lal,G-F
Zach Norvell Jr.,Gol,G-F
Jaylen Nowell,Min,G
Frank Ntilikina,Nyk,G
Kendrick Nunn,Mia,G
Jusuf Nurkic,Por,C
David Nwaba,Bro,G-F
Semi Ojeleye,Bos,F
Jahlil Okafor,Nor,C-F
Elie Okobo,Pho,F-G
Josh Okogie,Min,G
KZ Okpala,Mia,F-G
Victor Oladipo,Ind,G
Kelly Olynyk,Mia,C
Royce O'Neale,Uta,F
Miye Oni,Uta,G-F
Kyle O'Quinn,Phi,C-F
Cedi Osman,Cle,F
Kelly Oubre Jr.,Pho,F-G
Tariq Owens,Pho,F
Jeremy Pargo,Gol,G
Jabari Parker,Atl,F
Jabari Parker,Sac,F
Chandler Parsons,Atl,F
Eric Paschall,Gol,F
Anzejs Pasecniks,Was,C
Patrick Patterson,Lac,F
Justin Patton,Okc,C
Chris Paul,Okc,G
Cameron Payne,Pho,G
Gary Payton II,Was,G
Elfrid Payton,Nyk,G
Norvel Pelle,Phi,F
Theo Pinson,Bro,G-F
Mason Plumlee,Den,F-C
Jakob Poeltl,San,C
Vincent Poirier,Bos,C-F
Shamorie Ponds,Tor,G
Jordan Poole,Gol,G
Kevin Porter Jr.,Cle,G-F
Michael Porter Jr.,Den,F
Otto Porter Jr.,Chi,F
Bobby Portis,Nyk,F
Kristaps Porzingis,Dal,F-C
Dwight Powell,Dal,F-C
Norman Powell,Tor,G
Taurean Prince,Bro,F
Chasson Randle,Gol,G
Julius Randle,Nyk,C-F
Josh Reaves,Dal,G-F
Cam Reddish,Atl,F-G
JJ Redick,Nor,G
Naz Reid,Min,C-F
Josh Richardson,Phi,G
Austin Rivers,Hou,G
Andre Roberson,Okc,G-F
Glenn Robinson III,Gol,F
Glenn Robinson III,Phi,F
Duncan Robinson,Mia,F
Jerome Robinson,Lac,G
Jerome Robinson,Was,G
Justin Robinson,Was,G
Mitchell Robinson,Nyk,C-F
Isaiah Roby,Okc,F
Rajon Rondo,Lal,G
Derrick Rose,Det,G
Terrence Ross,Orl,G-F
Terry Rozier,Cha,G
Ricky Rubio,Pho,G
D'Angelo Russell,Gol,G
D'Angelo Russell,Min,G
Domantas Sabonis,Ind,F-C
Luka Samanic,San,F
JaKarr Sampson,Ind,F
Dario Saric,Pho,F
Tomas Satoransky,Chi,G
Admiral Schofield,Was,G-F
Dennis Schroder,Okc,G
Mike Scott,Phi,F
Thabo Sefolosha,Hou,F-G
Collin Sexton,Cle,G
Landry Shamet,Lac,G
Marial Shayok,Phi,G-F
Iman Shumpert,Bro,G
Pascal Siakam,Tor,F
Chris Silva,Mia,F
Ben Simmons,Phi,F
Anfernee Simons,Por,G
Alen Smailagic,Gol,F
Marcus Smart,Bos,G
Dennis Smith Jr.,Nyk,G
Ish Smith,Was,G
JR Smith,Lal,G
Zhaire Smith,Phi,G
Tony Snell,Det,G
Omari Spellman,Gol,F
Max Strus,Chi,G-F
Edmond Sumner,Ind,G
Caleb Swanigan,Sac,F
Caleb Swanigan,Por,F
Jayson Tatum,Bos,F-G
Jeff Teague,Min,G
Jeff Teague,Atl,G
Garrett Temple,Bro,G-F
Daniel Theis,Bos,F
Isaiah Thomas,Was,G
Khyri Thomas,Det,G
Lance Thomas,Bro,F
Matt Thomas,Tor,G
Tristan Thompson,Cle,C-F
Sindarius Thornwell,Nor,G
Matisse Thybulle,Phi,G-F
Anthony Tolliver,Por,F
Anthony Tolliver,Sac,F
Anthony Tolliver,Mem,F
Juan Toscano-Anderson,Gol,F
Karl-Anthony Towns,Min,C-F
Gary Trent Jr.,Por,G-F
Allonzo Trier,Nyk,G
P.J. Tucker,Hou,F
Rayjon Tucker,Uta,G
Evan Turner,Atl,G-F
Myles Turner,Ind,C-F
Jarrod Uthoff,Mem,F
Jarrod Uthoff,Was,F
Jonas Valanciunas,Mem,C
Denzel Valentine,Chi,G
Jarred Vanderbilt,Den,F
Jarred Vanderbilt,Min,F
Fred VanVleet,Tor,G
Gabe Vincent,Mia,G
Noah Vonleh,Min,F
Noah Vonleh,Den,F
Nikola Vucevic,Orl,C
Dean Wade,Cle,F-C
Moritz Wagner,Was,F-C
Dion Waiters,Mia,G
Dion Waiters,Lal,G
Lonnie Walker IV,San,G-F
Kemba Walker,Bos,G
Tyrone Wallace,Atl,G
Derrick Walton Jr.,Lac,G
Derrick Walton Jr.,Det,G
Brad Wanamaker,Bos,G
T.J. Warren,Ind,F
P.J. Washington,Cha,F
Yuta Watanabe,Mem,G-F
Tremont Waters,Bos,G
Paul Watson,Atl,G
Paul Watson,Tor,G
Quinndary Weatherspoon,San,G
Russell Westbrook,Hou,G
Coby White,Chi,G
Derrick White,San,G
Hassan Whiteside,Por,C
Andrew Wiggins,Min,F
Andrew Wiggins,Gol,F
Robert Williams III,Bos,C-F
Nigel Williams-Goss,Uta,G
Grant Williams,Bos,F
Johnathan Williams,Was,F
Kenrich Williams,Nor,G-F
Lou Williams,Lac,G
Marvin Williams,Cha,F
Marvin Williams,Mil,F
Zion Williamson,Nor,F
D.J. Wilson,Mil,F-C
Justise Winslow,Mia,G-F
Christian Wood,Det,F
Delon Wright,Dal,G
Justin Wright-Foreman,Uta,G
Thaddeus Young,Chi,F
Trae Young,Atl,G
Cody Zeller,Cha,C
Tyler Zeller,San,F-C
Ante Zizic,Cle,C
Ivica Zubac,Lac,C
