FULL NAME,TEAM,POS
Malcolm Brogdon,Ind,G
Armoni Brooks,Hou,G
Dillon Brooks,Mem,G-F
Charlie Brown Jr.,Okc,G
Troy Brown Jr.,Was,G-F
Troy Brown Jr.,Chi,G-F
Bruce Brown,Bro,G-F
Jaylen Brown,Bos,G-F
Moses Brown,Okc,C
Sterling Brown,Hou,G-F
Jalen Brunson,Dal,G
Elijah Bryant,Mil,G
Thomas Bryant,Was,C-F
Reggie Bullock,Nyk,G-F
Trey Burke,Dal,G
Alec Burks,Nyk,G
Jimmy Butler,Mia,F
Bruno Caboclo,Hou,F
Devontae Cacok,Lal,F
Kentavious Caldwell-Pope,Lal,G
Facundo Campazzo,Den,G
Vlatko Cancar,Den,F
Devin Cannady,Orl,G
Clint Capela,Atl,C
Vernon Carey Jr.,Cha,F-C
Wendell Carter Jr.,Chi,C-F
Wendell Carter Jr.,Orl,C-F
Jevon Carter,Pho,G
Michael Carter-Williams,Orl,G
Alex Caruso,Lal,G
Willie Cauley-Stein,Dal,C
Chris Chiozza,Bro,G
Marquese Chriss,Gol,F
Brandon Clarke,Mem,F-G
Gary Clark,Orl,F
Gary Clark,Den,F
Gary Clark,Phi,F
Jordan Clarkson,Uta,G
Nicolas Claxton,Bro,F-C
Amir Coffey,Lac,G-F
John Collins,Atl,F-C
Mike Conley,Uta,G
Pat Connaughton,Mil,G
Quinn Cook,Lal,G
Quinn Cook,Cle,G
Tyler Cook,Bro,F
Tyler Cook,Det,F
DeMarcus Cousins,Hou,C
DeMarcus Cousins,Lac,C
Robert Covington,Por,F
Torrey Craig,Mil,F
Torrey Craig,Pho,F
Jae Crowder,Pho,F
Jarrett Culver,Min,G-F
Seth Curry,Phi,G
Stephen Curry,Gol,G
Nate Darling,Cha,G
Anthony Davis,Lal,F-C
Ed Davis,Min,C-F
Terence Davis,Tor,G
Terence Davis,Sac,G
Gabriel Deck,Okc,F
Dewayne Dedmon,Mia,C
Matthew Dellavedova,Cle,G
DeMar DeRozan,San,G-F
Mamadi Diakite,Mil,F
Hamidou Diallo,Okc,G
Hamidou Diallo,Det,G
Gorgui Dieng,Mem,C
Gorgui Dieng,San,C
Spencer Dinwiddie,Bro,G
Donte DiVincenzo,Mil,G
Luka Doncic,Dal,F-G
Luguentz Dort,Okc,G
Damyean Dotson,Cle,G
Devon Dotson,Chi,G
Sekou Doumbouya,Det,F
PJ Dozier,Den,G-F
Goran Dragic,Mia,G
Andre Drummond,Cle,C
Andre Drummond,Lal,C
Jared Dudley,Lal,F
Kris Dunn,Atl,G
Kevin Durant,Bro,F
Anthony Edwards,Min,G
Carsen Edwards,Bos,G
CJ Elleby,Por,F-G
Henry Ellenson,Tor,F-C
Wayne Ellington,Det,G
Joel Embiid,Phi,C-F
James Ennis III,Orl,F
Drew Eubanks,San,F-C
Dante Exum,Cle,G
Tacko Fall,Bos,C
Derrick Favors,Uta,F
Cristiano Felicio,Chi,F-C
Terrance Ferguson,Phi,G
Bruno Fernando,Atl,F-C
Yogi Ferrell,Cle,G
Yogi Ferrell,Lac,G
Dorian Finney-Smith,Dal,F
Malik Fitts,Lac,F
Malachi Flynn,Tor,G
Bryn Forbes,Mil,G
Trent Forrest,Uta,G
Evan Fournier,Orl,G-F
Evan Fournier,Bos,G-F
De'Aaron Fox,Sac,G
Robert Franks,Orl,F
Tim Frazier,Mem,G
Markelle Fultz,Orl,G
Wenyen Gabriel,Nor,F
Daniel Gafford,Chi,F-C
Daniel Gafford,Was,F-C
Danilo Gallinari,Atl,F
Langston Galloway,Pho,G
Darius Garland,Cle,G
Marc Gasol,Lal,C
Rudy Gay,San,F-G
Paul George,Lac,F
Taj Gibson,Nyk,F
Harry Giles III,Por,F-C
Shai Gilgeous-Alexander,Okc,G-F
Anthony Gill,Was,F
Freddie Gillespie,Tor,F
Rudy Gobert,Uta,C
Brandon Goodwin,Atl,G
Aaron Gordon,Orl,F
Aaron Gordon,Den,F
Eric Gordon,Hou,G
Devonte' Graham,Cha,G
Jerami Grant,Det,F
Danny Green,Phi,G
Draymond Green,Gol,F
JaMychal Green,Den,F-C
Javonte Green,Bos,G-F
Javonte Green,Chi,G-F
Jeff Green,Bro,F
Josh Green,Dal,G
Blake Griffin,Det,F
Blake Griffin,Bro,F
Kyle Guy,Sac,G
Rui Hachimura,Was,F
Ashton Hagans,Min,G-F
Tyrese Haliburton,Sac,G
Donta Hall,Orl,C
Josh Hall,Okc,F
R.J. Hampton,Den,G
R.J. Hampton,Orl,G
Tim Hardaway Jr.,Dal,G-F
James Harden,Hou,G
James Harden,Bro,G
Maurice Harkless,Mia,F-G
Maurice Harkless,Sac,F-G
Jared Harper,Nyk,G
Montrezl Harrell,Lal,F-C
Gary Harris,Den,G
Gary Harris,Orl,G
Jalen Harris,Tor,G
Joe Harris,Bro,G-F
Shaquille Harrison,Uta,G
Shaquille Harrison,Den,G
Tobias Harris,Phi,F
Isaiah Hartenstein,Den,C-F
Isaiah Hartenstein,Cle,C-F
Josh Hart,Nor,G
Udonis Haslem,Mia,F
Jaxson Hayes,Nor,C-F
Killian Hayes,Det,G
Gordon Hayward,Cha,F
Juancho Hernangomez,Min,F
Willy Hernangomez,Nor,C-F
Tyler Herro,Mia,G
Buddy Hield,Sac,G
George Hill,Okc,G
George Hill,Phi,G
Solomon Hill,Atl,F
Nate Hinton,Dal,G-F
Jaylen Hoard,Okc,F
Aaron Holiday,Ind,G
Jrue Holiday,Mil,G
Justin Holiday,Ind,F-G
Rondae Hollis-Jefferson,Por,F
Richaun Holmes,Sac,F
Rodney Hood,Por,G-F
Rodney Hood,Tor,G-F
Al Horford,Okc,C-F
Talen Horton-Tucker,Lal,G
Danuel House Jr.,Hou,F-G
Dwight Howard,Phi,C-F
Markus Howard,Den,G
Kevin Huerter,Atl,G-F
Elijah Hughes,Uta,G
De'Andre Hunter,Atl,F-G
Chandler Hutchison,Chi,F-G
Chandler Hutchison,Was,F-G
Serge Ibaka,Lac,F
Andre Iguodala,Mia,G-F
Ersan Ilyasova,Uta,F
Joe Ingles,Uta,F-G
Brandon Ingram,Nor,F
Kyrie Irving,Bro,G
Wes Iwundu,Dal,F
Wes Iwundu,Nor,F
Jaren Jackson Jr.,Mem,F-C
Frank Jackson,Det,G
Josh Jackson,Det,G-F
Justin Jackson,Okc,F
Justin Jackson,Mil,F
Reggie Jackson,Lac,G
Justin James,Sac,G-F
LeBron James,Lal,F
Mike James,Bro,G
DaQuan Jeffries,Sac,G-F
DaQuan Jeffries,Hou,G-F
Ty Jerome,Okc,G-F
Isaiah Joe,Phi,G
Alize Johnson,Bro,F
Cameron Johnson,Pho,F
James Johnson,Dal,F
James Johnson,Nor,F
Keldon Johnson,San,F-G
Stanley Johnson,Tor,F-G
Tyler Johnson,Bro,G
Nikola Jokic,Den,C
Derrick Jones Jr.,Por,F
Damian Jones,Pho,C
Damian Jones,Lal,C
Damian Jones,Sac,C
Mason Jones,Hou,G
Mason Jones,Phi,G
Tre Jones,San,G
Tyus Jones,Mem,G
DeAndre Jordan,Bro,C
Cory Joseph,Sac,G
Cory Joseph,Det,G
Mfiondu Kabengele,Lac,F-C
Mfiondu Kabengele,Cle,F-C
Frank Kaminsky,Pho,F-C
Enes Kanter,Por,C
Luke Kennard,Lac,G
Louis King,Sac,F
Maxi Kleber,Dal,F
Nathan Knight,Atl,F-C
Kevin Knox II,Nyk,F
John Konchar,Mem,G
Furkan Korkmaz,Phi,G-F
Luke Kornet,Chi,F-C
Luke Kornet,Bos,F-C
Rodions Kurucs,Bro,F
Rodions Kurucs,Hou,F
Rodions Kurucs,Mil,F
Kyle Kuzma,Lal,F
Anthony Lamb,Hou,F
Jeremy Lamb,Ind,G-F
Romeo Langford,Bos,G-F
Zach LaVine,Chi,G-F
Jake Layman,Min,F
T.J. Leaf,Por,F
Jalen Lecque,Ind,G
Damion Lee,Gol,G-F
Saben Lee,Det,G
Alex Len,Tor,C
Alex Len,Was,C
Kawhi Leonard,Lac,F
Meyers Leonard,Mia,F-C
Caris LeVert,Bro,G
Caris LeVert,Ind,G
Kira Lewis Jr.,Nor,G
Damian Lillard,Por,G
Nassir Little,Por,F-G
Kevon Looney,Gol,F
Brook Lopez,Mil,C
Robin Lopez,Was,C
Marcos Louzada Silva,Nor,G
Kevin Love,Cle,F-C
Kyle Lowry,Tor,G
Timothe Luwawu-Cabarrot,Bro,G-F
Trey Lyles,San,F
Will Magnay,Nor,C
Thon Maker,Cle,F-C
Theo Maledon,Okc,G
Karim Mane,Orl,G
Nico Mannion,Gol,G
Terance Mann,Lac,G-F
Boban Marjanovic,Dal,C
Lauri Markkanen,Chi,F-C
Naji Marshall,Nor,F
Kenyon Martin Jr.,Hou,F
Caleb Martin,Cha,F
Cody Martin,Cha,F
Jeremiah Martin,Cle,G
Kelan Martin,Ind,F
Frank Mason,Orl,G
Garrison Mathews,Was,G
Dakota Mathias,Phi,G
Wesley Matthews,Lal,G
Tyrese Maxey,Phi,G
Skylar Mays,Atl,G
Patrick McCaw,Tor,G
CJ McCollum,Por,G
T.J. McConnell,Ind,G
Jalen McDaniels,Cha,F-C
Jaden McDaniels,Min,F
Doug McDermott,Ind,F
Sean McDermott,Mem,F
JaVale McGee,Cle,C-F
JaVale McGee,Den,C-F
Rodney McGruder,Det,G
Alfonzo McKinnie,Lal,F
Jordan McLaughlin,Min,G
Ben McLemore,Hou,G
Ben McLemore,Lal,G
Nicolo Melli,Nor,F
Nicolo Melli,Dal,F
De'Anthony Melton,Mem,G
Sam Merrill,Mil,G
Chimezie Metu,Sac,F-C
Khris Middleton,Mil,F
Darius Miller,Okc,F
Paul Millsap,Den,F
Patty Mills,San,G
Shake Milton,Phi,G-F
Donovan Mitchell,Uta,G
Adam Mokoka,Chi,G
Malik Monk,Cha,G
E'Twaun Moore,Pho,G
Ja Morant,Mem,G
Juwan Morgan,Uta,F
Marcus Morris Sr.,Lac,F
Markieff Morris,Lal,F
Monte Morris,Den,G
Mychal Mulder,Gol,G
Dejounte Murray,San,G
Jamal Murray,Den,G
Mike Muscala,Okc,F-C
Svi Mykhailiuk,Det,G-F
Svi Mykhailiuk,Okc,G-F
Abdel Nader,Pho,F
Larry Nance Jr.,Cle,F-C
Aaron Nesmith,Bos,G-F
Raul Neto,Was,G
Georges Niang,Uta,F
Zeke Nnaji,Den,F-C
Nerlens Noel,Nyk,C-F
Jaylen Nowell,Min,G
Frank Ntilikina,Nyk,G
James Nunnally,Nor,F
Kendrick Nunn,Mia,G
Jusuf Nurkic,Por,C
David Nwaba,Hou,G-F
Jordan Nwora,Mil,F
Semi Ojeleye,Bos,F
Jahlil Okafor,Det,C-F
Chuma Okeke,Orl,F
Josh Okogie,Min,G
Onyeka Okongwu,Atl,F-C
Isaac Okoro,Cle,F-G
KZ Okpala,Mia,F-G
Victor Oladipo,Ind,G
Victor Oladipo,Hou,G
Victor Oladipo,Mia,G
Cameron Oliver,Hou,F
Kelly Olynyk,Mia,F-C
Kelly Olynyk,Hou,F-C
Royce O'Neale,Uta,F
Miye Oni,Uta,G-F
Cedi Osman,Cle,F
Daniel Oturu,Lac,C
Kelly Oubre Jr.,Gol,F-G
Jabari Parker,Sac,F
Jabari Parker,Bos,F
Eric Paschall,Gol,F
Anzejs Pasecniks,Was,C-F
Patrick Patterson,Lac,F
Justin Patton,Hou,C
Chris Paul,Pho,G
Cameron Payne,Pho,G
Gary Payton II,Gol,G
Elfrid Payton,Nyk,G
Norvel Pelle,Bro,C
Norvel Pelle,Sac,C
Norvel Pelle,Nyk,C
Reggie Perry,Bro,F-C
Theo Pinson,Nyk,G-F
Mason Plumlee,Det,F-C
Jakob Poeltl,San,C
Vincent Poirier,Phi,C-F
Aleksej Pokusevski,Okc,C
Jordan Poole,Gol,G
Kevin Porter Jr.,Hou,G-F
Michael Porter Jr.,Den,F
Otto Porter Jr.,Chi,F
Otto Porter Jr.,Orl,F
Jontay Porter,Mem,C-F
Bobby Portis,Mil,F
Kristaps Porzingis,Dal,F-C
Dwight Powell,Dal,F-C
Norman Powell,Tor,G
Norman Powell,Por,G
Taurean Prince,Bro,F
Taurean Prince,Cle,G
Payton Pritchard,Bos,G
Immanuel Quickley,Nyk,G
Jahmi'us Ramsey,Sac,G
Chasson Randle,Orl,G
Julius Randle,Nyk,F-C
Cam Reddish,Atl,F-G
JJ Redick,Nor,G
JJ Redick,Dal,G
Paul Reed,Phi,F
Naz Reid,Min,C-F
Cameron Reynolds,San,F
Cameron Reynolds,Hou,F
Nick Richards,Cha,C
Josh Richardson,Dal,G
Grant Riller,Cha,G
Austin Rivers,Nyk,G
Austin Rivers,Den,G
Andre Roberson,Bro,G-F
Glenn Robinson III,Sac,F
Duncan Robinson,Mia,F
Jerome Robinson,Was,G
Justin Robinson,Okc,G
Mitchell Robinson,Nyk,C-F
Isaiah Roby,Okc,F
Rajon Rondo,Atl,G
Rajon Rondo,Lac,G
Derrick Rose,Det,G
Derrick Rose,Nyk,G
Terrence Ross,Orl,G-F
Terry Rozier,Cha,G
Ricky Rubio,Min,G
D'Angelo Russell,Min,G
Domantas Sabonis,Ind,F-C
Luka Samanic,San,F
JaKarr Sampson,Ind,F
Dario Saric,Pho,F-C
Tomas Satoransky,Chi,G
Dennis Schroder,Lal,G
Mike Scott,Phi,F
Jay Scrubb,Lac,G
Collin Sexton,Cle,G
Landry Shamet,Bro,G
Iman Shumpert,Bro,G
Pascal Siakam,Tor,F
Chris Silva,Mia,F
Chris Silva,Sac,F
Ben Simmons,Phi,G-F
Anfernee Simons,Por,G
Deividas Sirvydis,Det,F-G
Alen Smailagic,Gol,F
Marcus Smart,Bos,G
Dennis Smith Jr.,Nyk,G
Dennis Smith Jr.,Det,G
Ish Smith,Was,G
Jalen Smith,Pho,F-C
Tony Snell,Atl,G
Ray Spalding,Hou,F
Cassius Stanley,Ind,G
Lamar Stevens,Cle,F
Isaiah Stewart,Det,F-C
Max Strus,Mia,G-F
Edmond Sumner,Ind,G
Jae'Sean Tate,Hou,F
Jayson Tatum,Bos,F-G
Jeff Teague,Bos,G
Jeff Teague,Mil,G
Garrett Temple,Chi,G-F
Tyrell Terry,Dal,G
Daniel Theis,Bos,F-C
Daniel Theis,Chi,F
Brodric Thomas,Hou,G
Brodric Thomas,Cle,G
Isaiah Thomas,Nor,G
Khyri Thomas,Hou,G
Matt Thomas,Tor,G
Matt Thomas,Uta,G
Tristan Thompson,Bos,C-F
Sindarius Thornwell,Nor,G
Sindarius Thornwell,Orl,G
Matisse Thybulle,Phi,G-F
Killian Tillie,Mem,F-C
Xavier Tillman,Mem,F
Anthony Tolliver,Phi,F
Obi Toppin,Nyk,F
Juan Toscano-Anderson,Gol,F
Axel Toupane,Mil,G-F
Karl-Anthony Towns,Min,C-F
Gary Trent Jr.,Por,G-F
Gary Trent Jr.,Tor,G-F
P.J. Tucker,Hou,F
P.J. Tucker,Mil,F
Rayjon Tucker,Phi,G
Myles Turner,Ind,C-F
Jonas Valanciunas,Mem,C
Denzel Valentine,Chi,G
Jarred Vanderbilt,Min,F
Fred VanVleet,Tor,G
Anderson Varejao,Cle,F
Devin Vassell,San,G-F
Gabe Vincent,Mia,G
Noah Vonleh,Bro,F
Nikola Vucevic,Orl,C
Nikola Vucevic,Chi,C
Dean Wade,Cle,F-C
Moritz Wagner,Was,F-C
Moritz Wagner,Bos,F-C
Moritz Wagner,Orl,F-C
Lonnie Walker IV,San,G-F
Kemba Walker,Bos,G
John Wall,Hou,G
Brad Wanamaker,Gol,G
Brad Wanamaker,Cha,G
T.J. Warren,Ind,F
P.J. Washington,Cha,F
Yuta Watanabe,Tor,G-F
Tremont Waters,Bos,G
Paul Watson,Tor,G
Quinndary Weatherspoon,San,G
Russell Westbrook,Was,G
Coby White,Chi,G
Derrick White,San,G
Hassan Whiteside,Sac,C
Greg Whittington,Den,F
Andrew Wiggins,Gol,F
Robert Williams III,Bos,C-F
Grant Williams,Bos,F
Kenrich Williams,Okc,G-F
Lou Williams,Lac,G
Lou Williams,Atl,G
Zion Williamson,Nor,F
Patrick Williams,Chi,F
D.J. Wilson,Mil,F
D.J. Wilson,Hou,F-C
Dylan Windler,Cle,G-F
Justise Winslow,Mem,F-G
Cassius Winston,Was,G
James Wiseman,Gol,C
Robert Woodard II,Sac,F
Christian Wood,Hou,F
Delon Wright,Det,G
Delon Wright,Sac,G
Thaddeus Young,Chi,F
Trae Young,Atl,G
Cody Zeller,Cha,F-C
Ivica Zubac,Lac,C
