FULL NAME,TEAM,POS
Jeremy Lin,Tor,G
Shaun Livingston,Gol,G
Zach Lofton,Det,G
Kevon Looney,Gol,F
Brook Lopez,Mil,C
Robin Lopez,Chi,C
Kevin Love,Cle,F-C
Kyle Lowry,Tor,G
Jordan Loyd,Tor,G
Kalin Lucas,Det,G
Timothe Luwawu-Cabarrot,Okc,G-F
Timothe Luwawu-Cabarrot,Chi,G-F
Tyler Lydon,Den,F
Trey Lyles,Den,F
Scott Machado,Lal,G
Shelvin Mack,Mem,G
Shelvin Mack,Cha,G
Daryl Macon,Dal,G
J.P. Macura,Cha,G
Ian Mahinmi,Was,C
Thon Maker,Mil,F
Thon Maker,Det,F
Boban Marjanovic,Lac,C
Boban Marjanovic,Phi,C
Lauri Markkanen,Chi,F
Jarell Martin,Orl,F
Frank Mason,Sac,G
Yante Maten,Mia,F
Wesley Matthews,Dal,G-F
Wesley Matthews,Nyk,G-F
Wesley Matthews,Ind,G-F
Luc Mbah a Moute,Lac,F
Tahjere McCall,Bro,G
Patrick McCaw,Cle,G
Patrick McCaw,Tor,G
CJ McCollum,Por,G
T.J. McConnell,Phi,G
Doug McDermott,Ind,F
JaVale McGee,Lal,C
Rodney McGruder,Mia,G-F
Alfonzo McKinnie,Gol,F
Ben McLemore,Sac,G
Jordan McRae,Was,G
Jodie Meeks,Tor,G
Salah Mejri,Dal,C
De'Anthony Melton,Pho,G
Chimezie Metu,San,F
Khris Middleton,Mil,F
CJ Miles,Tor,F-G
CJ Miles,Mem,F-G
Darius Miller,Nor,F
Malcolm Miller,Tor,F
Paul Millsap,Den,F
Patty Mills,San,G
Shake Milton,Phi,G
Nikola Mirotic,Nor,F
Nikola Mirotic,Mil,F
Donovan Mitchell,Uta,G
Naz Mitrou-Long,Uta,G
Malik Monk,Cha,G
Greg Monroe,Tor,C
Greg Monroe,Bos,C
Greg Monroe,Phi,C
E'Twaun Moore,Nor,G
Eric Moreland,Pho,F-C
Eric Moreland,Tor,F-C
Jaylen Morris,Mil,G
Marcus Morris,Bos,F
Markieff Morris,Was,F
Markieff Morris,Okc,F
Monte Morris,Den,G
Donatas Motiejunas,San,F-C
Johnathan Motley,Lac,F
Emmanuel Mudiay,Nyk,G
Jamal Murray,Den,G
Dzanan Musa,Bro,G-F
Mike Muscala,Phi,F-C
Mike Muscala,Lal,F-C
Svi Mykhailiuk,Lal,F
Svi Mykhailiuk,Det,G
Abdel Nader,Okc,F
Larry Nance Jr.,Cle,F
Shabazz Napier,Bro,G
Nene,Hou,C-F
Raul Neto,Uta,G
Georges Niang,Uta,F
Joakim Noah,Mem,C
Nerlens Noel,Okc,F-C
Dirk Nowitzki,Dal,F
Frank Ntilikina,Nyk,G
James Nunnally,Min,F
James Nunnally,Hou,F
Jusuf Nurkic,Por,C
David Nwaba,Cle,G
Semi Ojeleye,Bos,F
Jahlil Okafor,Nor,C
Elie Okobo,Pho,G
Josh Okogie,Min,G
Victor Oladipo,Ind,G
Kelly Olynyk,Mia,F
Royce O'Neale,Uta,F
Kyle O'Quinn,Ind,C
Cedi Osman,Cle,F
Kelly Oubre Jr.,Was,F
Kelly Oubre Jr.,Pho,F
Zaza Pachulia,Det,C
Jabari Parker,Chi,F
Jabari Parker,Was,F
Tony Parker,Cha,G
Chandler Parsons,Mem,F
Patrick Patterson,Okc,F
Justin Patton,Phi,C
Chris Paul,Hou,G
Cameron Payne,Chi,G
Cameron Payne,Cle,G
Gary Payton II,Was,G
Elfrid Payton,Nor,G
Theo Pinson,Bro,G-F
Mason Plumlee,Den,F-C
Miles Plumlee,Atl,C
Jakob Poeltl,San,C
Quincy Pondexter,San,F
Otto Porter Jr.,Was,F
Otto Porter Jr.,Chi,F
Bobby Portis,Chi,F
Bobby Portis,Was,F
Dwight Powell,Dal,F-C
Norman Powell,Tor,F-G
Alex Poythress,Atl,F
Taurean Prince,Atl,F
Zhou Qi,Hou,F-C
Ivan Rabb,Mem,F
Chasson Randle,Was,G
Julius Randle,Nor,F
JJ Redick,Phi,G
Davon Reed,Ind,G
Cameron Reynolds,Min,G
Josh Richardson,Mia,F
Malachi Richardson,Tor,G
Austin Rivers,Was,G
Austin Rivers,Hou,G
Glenn Robinson III,Det,G-F
Devin Robinson,Was,F
Duncan Robinson,Mia,F
Jerome Robinson,Lac,G
Mitchell Robinson,Nyk,C
Rajon Rondo,Lal,G
Derrick Rose,Min,G
Terrence Ross,Orl,G-F
Terry Rozier,Bos,G
Ricky Rubio,Uta,G
D'Angelo Russell,Bro,G
Domantas Sabonis,Ind,F
Brandon Sampson,Chi,G
JaKarr Sampson,Chi,F
Dario Saric,Phi,F
Dario Saric,Min,F
Tomas Satoransky,Was,G-F
Dennis Schroder,Okc,G
Mike Scott,Lac,F
Mike Scott,Phi,F
Thabo Sefolosha,Uta,F
Wayne Selden,Mem,G-F
Wayne Selden,Chi,G-F
Collin Sexton,Cle,G
Landry Shamet,Phi,G
Landry Shamet,Lac,G
Iman Shumpert,Sac,G
Iman Shumpert,Hou,G
Pascal Siakam,Tor,F
Jordan Sibert,Atl,G
Ben Simmons,Phi,G-F
Jonathon Simmons,Orl,F
Jonathon Simmons,Phi,F
Kobi Simmons,Cle,G
Anfernee Simons,Por,G
Marcus Smart,Bos,G
Dennis Smith Jr.,Dal,G
Dennis Smith Jr.,Nyk,G
Ish Smith,Det,G
Jason Smith,Was,F-C
Jason Smith,Mil,F-C
Jason Smith,Nor,F-C
JR Smith,Cle,G-F
Zhaire Smith,Phi,G
Tony Snell,Mil,G
Ray Spalding,Dal,F
Ray Spalding,Pho,F
Omari Spellman,Atl,F
Nik Stauskas,Por,G
Nik Stauskas,Cle,G
DJ Stephens,Mem,G-F
Lance Stephenson,Lal,G
Edmond Sumner,Ind,G
Caleb Swanigan,Por,F
Caleb Swanigan,Sac,F
Jayson Tatum,Bos,F
Jeff Teague,Min,G
Garrett Temple,Mem,G-F
Garrett Temple,Lac,G-F
Milos Teodosic,Lac,G
Jared Terrell,Min,G
Emanuel Terry,Pho,F
Emanuel Terry,Mia,F
Daniel Theis,Bos,F
Isaiah Thomas,Den,G
Khyri Thomas,Det,G
Lance Thomas,Nyk,F
Klay Thompson,Gol,G
Tristan Thompson,Cle,F-C
Sindarius Thornwell,Lac,G
Anthony Tolliver,Min,F
Karl-Anthony Towns,Min,F-C
Gary Trent Jr.,Por,G
Allonzo Trier,Nyk,G
PJ Tucker,Hou,F
Evan Turner,Por,G-F
Myles Turner,Ind,F-C
Ekpe Udoh,Uta,C-F
Tyler Ulis,Chi,G
Jonas Valanciunas,Tor,C
Jonas Valanciunas,Mem,C
Jarred Vanderbilt,Den,F
Fred VanVleet,Tor,G
Noah Vonleh,Nyk,F
Nikola Vucevic,Orl,C
Dwyane Wade,Mia,G
Moritz Wagner,Lal,C
Dion Waiters,Mia,G
Lonnie Walker IV,San,G
Kemba Walker,Cha,G
Tyrone Wallace,Lac,G
John Wall,Was,G
Brad Wanamaker,Bos,G
T.J. Warren,Pho,F
Julian Washburn,Mem,F-G
Yuta Watanabe,Mem,G
Thomas Welsh,Den,C
Russell Westbrook,Okc,G
Derrick White,San,G
Okaro White,Was,F
Hassan Whiteside,Mia,C
Andrew Wiggins,Min,G-F
Robert Williams III,Bos,C-F
Alan Williams,Bro,F-C
C.J. Williams,Min,G
Johnathan Williams,Lal,F
Kenrich Williams,Nor,G-F
Lou Williams,Lac,G
Marvin Williams,Cha,F
Troy Williams,Sac,F
D.J. Wilson,Mil,F
Justise Winslow,Mia,F
Christian Wood,Mil,F
Christian Wood,Nor,F
Delon Wright,Tor,G
Delon Wright,Mem,G
Guerschon Yabusele,Bos,F
Nick Young,Den,G-F
Thaddeus Young,Ind,F
Trae Young,Atl,G
Cody Zeller,Cha,F-C
Tyler Zeller,Atl,C
Tyler Zeller,Mem,C
Ante Zizic,Cle,C
Ivica Zubac,Lal,C
Ivica Zubac,Lac,C
